cycle,ts,rss_kb,fd,threads,dropped,clock_lost,http_runtime
85,1789140570,782152,10,18,0,0,200
86,1789140598,782176,10,18,0,0,200
87,1789140626,782200,10,18,0,0,200
88,1789140654,782224,10,18,0,0,200
89,1789140683,782252,10,18,0,0,200
90,1789140711,782276,10,18,0,0,200
91,1789140739,782300,10,18,0,0,200
92,1789140767,782348,10,18,0,0,200
93,1789140795,782348,10,18,0,0,200
94,1789140823,782372,10,18,0,0,200
95,1789140851,782396,10,18,0,0,200
96,1789140879,782420,10,18,0,0,200
97,1789140907,782444,10,18,0,0,200
98,1789140936,782468,10,18,0,0,200
99,1789140964,782492,10,18,0,0,200
100,1789140992,782516,10,18,0,0,200
101,1789141020,782540,10,18,0,0,200
102,1789141048,782564,10,18,0,0,200
103,1789141076,782588,10,18,0,0,200
104,1789141104,782612,10,18,0,0,200
105,1789141132,782636,10,18,0,0,200
106,1789141161,782664,10,18,0,0,200
107,1789141189,782688,10,18,0,0,200
108,1789141217,782712,10,18,0,0,200
109,1789141245,782736,10,18,0,0,200
110,1789141273,782760,10,18,0,0,200
111,1789141301,782784,10,18,0,0,200
112,1789141329,782808,10,18,0,0,200
113,1789141357,782832,10,18,0,0,200
114,1789141385,782856,10,18,0,0,200
115,1789141414,782880,10,18,0,0,200
116,1789141442,782904,10,18,0,0,200
117,1789141470,782928,10,18,0,0,200
118,1789141498,782956,10,18,0,0,200
119,1789141526,782980,10,18,0,0,200
120,1789141554,783004,10,18,0,0,200
121,1789141582,783028,10,18,0,0,200
122,1789141610,783052,10,18,0,0,200
123,1789141639,783076,10,18,0,0,200
124,1789141667,783100,10,18,0,0,200
125,1789141695,783124,10,18,0,0,200
126,1789141723,783148,10,18,0,0,200
127,1789141751,783172,10,18,0,0,200
128,1789141779,783196,10,18,0,0,200
129,1789141807,783220,10,18,0,0,200
130,1789141835,783244,10,18,0,0,200
131,1789141863,783268,10,18,0,0,200
132,1789141892,783292,10,18,0,0,200
133,1789141920,783316,10,18,0,0,200
134,1789141948,783344,10,18,0,0,200
135,1789141976,783368,10,18,0,0,200
136,1789142004,783392,10,18,0,0,200
137,1789142032,783416,10,18,0,0,200
138,1789142060,783440,10,18,0,0,200
139,1789142088,783464,10,18,0,0,200
140,1789142117,783488,10,18,0,0,200
141,1789142145,783512,10,18,0,0,200
142,1789142173,783536,10,18,0,0,200
143,1789142201,783560,10,18,0,0,200
144,1789142229,783584,10,18,0,0,200
145,1789142257,783608,10,18,0,0,200
146,1789142285,783632,10,18,0,0,200
147,1789142313,783656,10,18,0,0,200
148,1789142342,783680,10,18,0,0,200
149,1789142370,783704,10,18,0,0,200
150,1789142398,783728,10,18,0,0,200
151,1789142426,783752,10,18,0,0,200
152,1789142454,783776,10,18,0,0,200
153,1789142482,783800,10,18,0,0,200
154,1789142510,783828,10,18,0,0,200
155,1789142538,783852,10,18,0,0,200
156,1789142566,783876,10,18,0,0,200
157,1789142595,783900,10,18,0,0,200
158,1789142623,783924,10,18,0,0,200
159,1789142651,783948,10,18,0,0,200
160,1789142679,783972,10,18,0,0,200
161,1789142707,783996,10,18,0,0,200
162,1789142735,784020,10,18,0,0,200
163,1789142763,784044,10,18,0,0,200
164,1789142791,784068,10,18,0,0,200
165,1789142820,784092,10,18,0,0,200
166,1789142848,784116,10,18,0,0,200
167,1789142876,784140,10,18,0,0,200
168,1789142904,784164,10,18,0,0,200
169,1789142932,784188,10,18,0,0,200
170,1789142960,784212,10,18,0,0,200
171,1789142988,784240,10,18,0,0,200
172,1789143016,784264,10,18,0,0,200
173,1789143045,784288,10,18,0,0,200
174,1789143073,784312,10,18,0,0,200
175,1789143101,784336,10,18,0,0,200
176,1789143129,784360,10,18,0,0,200
177,1789143157,784384,10,18,0,0,200
178,1789143185,784408,10,18,0,0,200
179,1789143213,784432,10,18,0,0,200
180,1789143241,784456,10,18,0,0,200
181,1789143269,784480,10,18,0,0,200
182,1789143298,784552,10,18,0,0,200
183,1789143326,784576,10,18,0,0,200
184,1789143354,784600,10,18,0,0,200
185,1789143382,784624,10,18,0,0,200
186,1789143410,784648,10,18,0,0,200
187,1789143438,784672,10,18,0,0,200
188,1789143466,784700,10,18,0,0,200
189,1789143494,784724,10,18,0,0,200
190,1789143523,784748,10,18,0,0,200
191,1789143551,784772,10,18,0,0,200
192,1789143579,784796,10,18,0,0,200
193,1789143607,784820,10,18,0,0,200
194,1789143635,784844,10,18,0,0,200
195,1789143663,784868,10,18,0,0,200
196,1789143691,784892,10,18,0,0,200
197,1789143719,784916,10,18,0,0,200
198,1789143748,784940,10,18,0,0,200
199,1789143776,784964,10,18,0,0,200
200,1789143804,784988,10,18,0,0,200
201,1789143832,785012,10,18,0,0,200
202,1789143860,785036,10,18,0,0,200
203,1789143888,785060,10,18,0,0,200
204,1789143916,785088,10,18,0,0,200
205,1789143944,785112,10,18,0,0,200
206,1789143972,785136,10,18,0,0,200
207,1789144001,785160,10,18,0,0,200
208,1789144029,785184,10,18,0,0,200
209,1789144057,785208,10,18,0,0,200
210,1789144085,785232,10,18,0,0,200
211,1789144113,785256,10,18,0,0,200
212,1789144141,785280,10,18,0,0,200
213,1789144169,785304,10,18,0,0,200
214,1789144197,785328,10,18,0,0,200
215,1789144226,785352,10,18,0,0,200
216,1789144254,785376,10,18,0,0,200
217,1789144282,785400,10,18,0,0,200
218,1789144310,785424,10,18,0,0,200
219,1789144338,785448,10,18,0,0,200
220,1789144366,785476,10,18,0,0,200
221,1789144394,785500,10,18,0,0,200
222,1789144422,785524,10,18,0,0,200
223,1789144450,785548,10,18,0,0,200
224,1789144479,785572,10,18,0,0,200
225,1789144507,785596,10,18,0,0,200
226,1789144535,785620,10,18,0,0,200
227,1789144563,785644,10,18,0,0,200
228,1789144591,785668,10,18,0,0,200
229,1789144619,785692,10,18,0,0,200
230,1789144647,785716,10,18,0,0,200
231,1789144675,785740,10,18,0,0,200
232,1789144704,785764,10,18,0,0,200
233,1789144732,785788,10,18,0,0,200
234,1789144760,785812,10,18,0,0,200
235,1789144788,785836,10,18,0,0,200
236,1789144816,785860,10,18,0,0,200
237,1789144844,785884,10,18,0,0,200
238,1789144872,785908,10,18,0,0,200
239,1789144900,785932,10,18,0,0,200
240,1789144929,785960,10,18,0,0,200
241,1789144957,785984,10,18,0,0,200
242,1789144985,786008,10,18,0,0,200
243,1789145013,786032,10,18,0,0,200
244,1789145041,786056,10,18,0,0,200
245,1789145069,786080,10,18,0,0,200
246,1789145097,786104,10,18,0,0,200
247,1789145125,786128,10,18,0,0,200
248,1789145153,786152,10,18,0,0,200
249,1789145182,786176,10,18,0,0,200
250,1789145210,786200,10,18,0,0,200
251,1789145238,786224,10,18,0,0,200
252,1789145266,786248,10,18,0,0,200
253,1789145294,786272,10,18,0,0,200
254,1789145322,786296,10,18,0,0,200
255,1789145350,786320,10,18,0,0,200
256,1789145378,786344,10,18,0,0,200
257,1789145407,786372,10,18,0,0,200
258,1789145435,786396,10,18,0,0,200
259,1789145463,786420,10,18,0,0,200
260,1789145491,786444,10,18,0,0,200
261,1789145519,786468,10,18,0,0,200
262,1789145547,786492,10,18,0,0,200
263,1789145575,786516,10,18,0,0,200
264,1789145603,786540,10,18,0,0,200
265,1789145631,786564,10,18,0,0,200
266,1789145660,786588,10,18,0,0,200
267,1789145688,786612,10,18,0,0,200
268,1789145716,786636,10,18,0,0,200
