ts,run_rel_s,tid,comm,state,utime_ticks,stime_ticks
1789633717,5890,2932474,media-agent,S,29,19
1789633717,5890,2932483,media-agent,S,0,0
1789633717,5890,2932484,media-agent,S,0,0
1789633717,5890,2932485,media-agent,S,0,0
1789633717,5890,2932486,media-agent,S,0,0
1789633717,5890,2932487,media-agent,S,0,0
1789633717,5890,2932488,media-agent,S,2,30
1789633717,5890,2932489,media-agent,S,0,0
1789633717,5890,2932490,pool-spawner,S,0,0
1789633717,5890,2932491,queue1:src,S,143,1294
1789633717,5890,2932496,decklinkvideosr,S,201,2193
1789633717,5890,2932547,media-agent,S,11,1
1789633717,5890,2932551,media-agent,S,86,95
1789633717,5890,2932553,decklinkaudiosr,S,1574,524
1789633717,5890,2932554,queue0:src,S,187,1378
1789633717,5890,2932555,decklinkvideosr,S,4520,45511
1789633717,5890,2932556,queue3:src,S,848,430
1789633717,5890,2932557,queue2:src,S,1124,416
1789633717,5890,2932558,decklinkvideosr,S,2327,420
1789633717,5890,2932559,decklinkaudiosr,S,982,1577
1789633717,5890,2932560,decklinkvideosr,S,2316,46942
1789633717,5890,2932561,program-audio-q,S,1468,489
1789633717,5890,2932562,program-video-q,S,1041,1709
1789633717,5890,2932563,program-asrc-a:,S,313,2175
1789633717,5890,2932564,program-asrc-b:,S,2361,107
1789633717,5890,2932565,program-vsrc-a:,S,669,1176
1789633717,5890,2932566,program-vsrc-b:,S,1478,1067
1789633717,5890,2932567,media-agent,S,249,26
1789633717,5890,2932568,media-agent,S,12,2
1789633717,5890,2932569,media-agent,S,11,37
1789633719,5892,2932474,media-agent,S,29,19
1789633719,5892,2932483,media-agent,S,0,0
1789633719,5892,2932484,media-agent,S,0,0
1789633719,5892,2932485,media-agent,S,0,0
1789633719,5892,2932486,media-agent,S,0,0
1789633719,5892,2932487,media-agent,S,0,0
1789633719,5892,2932488,media-agent,S,2,30
1789633719,5892,2932489,media-agent,S,0,0
1789633719,5892,2932490,pool-spawner,S,0,0
1789633719,5892,2932491,queue1:src,S,143,1295
1789633719,5892,2932496,decklinkvideosr,S,201,2194
1789633719,5892,2932547,media-agent,S,11,1
1789633719,5892,2932551,media-agent,S,86,95
1789633719,5892,2932553,decklinkaudiosr,S,1575,525
1789633719,5892,2932554,queue0:src,S,187,1379
1789633719,5892,2932555,decklinkvideosr,S,4520,45531
1789633719,5892,2932556,queue3:src,S,849,430
1789633719,5892,2932557,queue2:src,S,1124,416
1789633719,5892,2932558,decklinkvideosr,S,2328,420
1789633719,5892,2932559,decklinkaudiosr,S,982,1578
1789633719,5892,2932560,decklinkvideosr,S,2319,46960
1789633719,5892,2932561,program-audio-q,S,1468,489
1789633719,5892,2932562,program-video-q,S,1041,1709
1789633719,5892,2932563,program-asrc-a:,S,313,2175
1789633719,5892,2932564,program-asrc-b:,S,2362,107
1789633719,5892,2932565,program-vsrc-a:,S,669,1176
1789633719,5892,2932566,program-vsrc-b:,S,1478,1068
1789633719,5892,2932567,media-agent,S,249,26
1789633719,5892,2932568,media-agent,S,12,2
1789633719,5892,2932569,media-agent,S,11,37
1789633721,5894,2932474,media-agent,S,29,19
1789633721,5894,2932483,media-agent,S,0,0
1789633721,5894,2932484,media-agent,S,0,0
1789633721,5894,2932485,media-agent,S,0,0
1789633721,5894,2932486,media-agent,S,0,0
1789633721,5894,2932487,media-agent,S,0,0
1789633721,5894,2932488,media-agent,S,2,30
1789633721,5894,2932489,media-agent,S,0,0
1789633721,5894,2932490,pool-spawner,S,0,0
1789633721,5894,2932491,queue1:src,S,143,1295
1789633721,5894,2932496,decklinkvideosr,S,201,2194
1789633721,5894,2932547,media-agent,S,11,1
1789633721,5894,2932551,media-agent,S,86,95
1789633721,5894,2932553,decklinkaudiosr,S,1575,525
1789633721,5894,2932554,queue0:src,S,187,1379
1789633721,5894,2932555,decklinkvideosr,S,4520,45543
1789633721,5894,2932556,queue3:src,S,849,430
1789633721,5894,2932557,queue2:src,S,1124,416
1789633721,5894,2932558,decklinkvideosr,S,2328,420
1789633721,5894,2932559,decklinkaudiosr,S,982,1579
1789633721,5894,2932560,decklinkvideosr,S,2321,46970
1789633721,5894,2932561,program-audio-q,S,1468,489
1789633721,5894,2932562,program-video-q,S,1042,1709
1789633721,5894,2932563,program-asrc-a:,S,313,2176
1789633721,5894,2932564,program-asrc-b:,S,2363,107
1789633721,5894,2932565,program-vsrc-a:,S,670,1177
1789633721,5894,2932566,program-vsrc-b:,S,1478,1069
1789633721,5894,2932567,media-agent,S,249,26
1789633721,5894,2932568,media-agent,S,12,2
1789633721,5894,2932569,media-agent,S,11,37
1789633723,5896,2932474,media-agent,S,29,19
1789633723,5896,2932483,media-agent,S,0,0
1789633723,5896,2932484,media-agent,S,0,0
1789633723,5896,2932485,media-agent,S,0,0
1789633723,5896,2932486,media-agent,S,0,0
1789633723,5896,2932487,media-agent,S,0,0
1789633723,5896,2932488,media-agent,S,2,30
1789633723,5896,2932489,media-agent,S,0,0
1789633723,5896,2932490,pool-spawner,S,0,0
1789633723,5896,2932491,queue1:src,S,144,1296
1789633723,5896,2932496,decklinkvideosr,S,201,2195
1789633723,5896,2932547,media-agent,S,11,1
1789633723,5896,2932551,media-agent,S,86,95
1789633723,5896,2932553,decklinkaudiosr,S,1576,525
1789633723,5896,2932554,queue0:src,S,187,1379
1789633723,5896,2932555,decklinkvideosr,S,4521,45563
1789633723,5896,2932556,queue3:src,S,849,430
1789633723,5896,2932557,queue2:src,S,1125,416
1789633723,5896,2932558,decklinkvideosr,S,2329,421
1789633723,5896,2932559,decklinkaudiosr,S,982,1580
1789633723,5896,2932560,decklinkvideosr,S,2323,46988
1789633723,5896,2932561,program-audio-q,S,1469,489
1789633723,5896,2932562,program-video-q,S,1042,1709
1789633723,5896,2932563,program-asrc-a:,S,313,2177
1789633723,5896,2932564,program-asrc-b:,S,2364,107
