cycle,ts,rss_kb,fd,threads,dropped,clock_lost,sw_epoch,tl_epoch,frames_v,frames_a,observed,target
115,1789004034,1271208,14,29,0,0,115,0,98569,131402,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
116,1789004062,1271208,14,29,0,0,116,0,99432,132553,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
117,1789004091,1271208,14,29,0,0,117,0,100297,133706,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
118,1789004120,1271208,14,29,0,0,118,0,101159,134856,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
119,1789004149,1271208,14,29,0,0,119,0,102024,136009,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
120,1789004177,1271208,14,29,0,0,120,0,102890,137163,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
121,1789004206,1271208,14,29,0,0,121,0,103755,138316,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
122,1789004235,1271208,14,29,0,0,122,0,104617,139466,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
123,1789004264,1271208,14,29,0,0,123,0,105482,140619,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
124,1789004293,1271212,14,29,0,0,124,0,106346,141770,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
125,1789004321,1271212,14,29,0,0,125,0,107213,142927,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
126,1789004350,1271212,14,29,0,0,126,0,108076,144077,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
127,1789004379,1271212,14,29,0,0,127,0,108941,145230,6ede00d0-baf4-573f-a0dd-4a503bf7f766,6ede00d0-baf4-573f-a0dd-4a503bf7f766
128,1789004408,1271212,14,29,0,0,128,0,109804,146380,4fa33dcb-5f76-5f76-aea8-330df7ada03e,4fa33dcb-5f76-5f76-aea8-330df7ada03e
