ts,run_rel_s,tid,comm,state,utime_ticks,stime_ticks
1789144110,5908,2511731,media-agent,S,0,0
1789144110,5908,2511732,pool-spawner,S,0,0
1789144110,5908,2511733,queue1:src,S,348,1087
1789144110,5908,2511738,queue0:src,S,423,1417
1789144110,5908,2511788,media-agent,S,86,96
1789144110,5908,2511789,decklinkaudiosr,S,584,317
1789144110,5908,2511790,decklinkvideosr,S,700,357
1789144110,5908,2511791,decklinkvideosr,S,925,49807
1789144110,5908,2511792,media-agent,S,242,71
1789144110,5908,2511793,media-agent,S,13,1
1789144110,5908,2511794,media-agent,S,11,31
1789144111,5909,2511716,media-agent,S,17,18
1789144111,5909,2511725,media-agent,S,0,0
1789144111,5909,2511726,media-agent,S,0,0
1789144111,5909,2511727,media-agent,S,0,0
1789144111,5909,2511728,media-agent,S,0,0
1789144111,5909,2511729,media-agent,S,0,0
1789144111,5909,2511730,media-agent,S,7,25
1789144111,5909,2511731,media-agent,S,0,0
1789144111,5909,2511732,pool-spawner,S,0,0
1789144111,5909,2511733,queue1:src,S,348,1087
1789144111,5909,2511738,queue0:src,S,423,1417
1789144111,5909,2511788,media-agent,S,86,96
1789144111,5909,2511789,decklinkaudiosr,S,584,317
1789144111,5909,2511790,decklinkvideosr,S,700,357
1789144111,5909,2511791,decklinkvideosr,S,927,49815
1789144111,5909,2511792,media-agent,S,242,71
1789144111,5909,2511793,media-agent,S,13,1
1789144111,5909,2511794,media-agent,S,11,31
1789144113,5911,2511716,media-agent,S,17,18
1789144113,5911,2511725,media-agent,S,0,0
1789144113,5911,2511726,media-agent,S,0,0
1789144113,5911,2511727,media-agent,S,0,0
1789144113,5911,2511728,media-agent,S,0,0
1789144113,5911,2511729,media-agent,S,0,0
1789144113,5911,2511730,media-agent,S,7,25
1789144113,5911,2511731,media-agent,S,0,0
1789144113,5911,2511732,pool-spawner,S,0,0
1789144113,5911,2511733,queue1:src,S,348,1088
1789144113,5911,2511738,queue0:src,S,424,1417
1789144113,5911,2511788,media-agent,S,86,96
1789144113,5911,2511789,decklinkaudiosr,S,584,317
1789144113,5911,2511790,decklinkvideosr,S,700,357
1789144113,5911,2511791,decklinkvideosr,S,930,49831
1789144113,5911,2511792,media-agent,S,242,71
1789144113,5911,2511793,media-agent,S,13,1
1789144113,5911,2511794,media-agent,S,11,31
1789144115,5913,2511716,media-agent,S,17,18
1789144115,5913,2511725,media-agent,S,0,0
1789144115,5913,2511726,media-agent,S,0,0
1789144115,5913,2511727,media-agent,S,0,0
1789144115,5913,2511728,media-agent,S,0,0
1789144115,5913,2511729,media-agent,S,0,0
1789144115,5913,2511730,media-agent,S,7,25
1789144115,5913,2511731,media-agent,S,0,0
1789144115,5913,2511732,pool-spawner,S,0,0
1789144115,5913,2511733,queue1:src,S,348,1088
1789144115,5913,2511738,queue0:src,S,425,1417
1789144115,5913,2511788,media-agent,S,86,96
1789144115,5913,2511789,decklinkaudiosr,S,584,317
1789144115,5913,2511790,decklinkvideosr,S,701,357
1789144115,5913,2511791,decklinkvideosr,S,933,49847
1789144115,5913,2511792,media-agent,S,242,71
1789144115,5913,2511793,media-agent,S,13,1
1789144115,5913,2511794,media-agent,S,11,31
1789144117,5915,2511716,media-agent,S,17,18
1789144117,5915,2511725,media-agent,S,0,0
1789144117,5915,2511726,media-agent,S,0,0
1789144117,5915,2511727,media-agent,S,0,0
1789144117,5915,2511728,media-agent,S,0,0
1789144117,5915,2511729,media-agent,S,0,0
1789144117,5915,2511730,media-agent,S,7,25
1789144117,5915,2511731,media-agent,S,0,0
1789144117,5915,2511732,pool-spawner,S,0,0
1789144117,5915,2511733,queue1:src,S,348,1088
1789144117,5915,2511738,queue0:src,S,425,1417
1789144117,5915,2511788,media-agent,S,86,96
1789144117,5915,2511789,decklinkaudiosr,S,584,318
1789144117,5915,2511790,decklinkvideosr,S,701,357
1789144117,5915,2511791,decklinkvideosr,S,935,49856
1789144117,5915,2511792,media-agent,S,242,71
1789144117,5915,2511793,media-agent,S,13,1
1789144117,5915,2511794,media-agent,S,11,31
1789144119,5917,2511716,media-agent,S,17,18
1789144119,5917,2511725,media-agent,S,0,0
1789144119,5917,2511726,media-agent,S,0,0
1789144119,5917,2511727,media-agent,S,0,0
1789144119,5917,2511728,media-agent,S,0,0
1789144119,5917,2511729,media-agent,S,0,0
1789144119,5917,2511730,media-agent,S,7,25
1789144119,5917,2511731,media-agent,S,0,0
1789144119,5917,2511732,pool-spawner,S,0,0
1789144119,5917,2511733,queue1:src,S,348,1089
1789144119,5917,2511738,queue0:src,S,426,1417
1789144119,5917,2511788,media-agent,S,86,96
1789144119,5917,2511789,decklinkaudiosr,S,584,318
1789144119,5917,2511790,decklinkvideosr,S,701,357
1789144119,5917,2511791,decklinkvideosr,S,938,49872
1789144119,5917,2511792,media-agent,S,242,71
1789144119,5917,2511793,media-agent,S,13,1
1789144119,5917,2511794,media-agent,S,11,31
1789144121,5919,2511716,media-agent,S,17,18
1789144121,5919,2511725,media-agent,S,0,0
1789144121,5919,2511726,media-agent,S,0,0
1789144121,5919,2511727,media-agent,S,0,0
1789144121,5919,2511728,media-agent,S,0,0
1789144121,5919,2511729,media-agent,S,0,0
1789144121,5919,2511730,media-agent,S,7,25
1789144121,5919,2511731,media-agent,S,0,0
1789144121,5919,2511732,pool-spawner,S,0,0
1789144121,5919,2511733,queue1:src,S,348,1089
1789144121,5919,2511738,queue0:src,S,426,1417
1789144121,5919,2511788,media-agent,S,86,96
1789144121,5919,2511789,decklinkaudiosr,S,584,318
1789144121,5919,2511790,decklinkvideosr,S,702,357
1789144121,5919,2511791,decklinkvideosr,S,942,49888
1789144121,5919,2511792,media-agent,S,242,71
1789144121,5919,2511793,media-agent,S,13,1
1789144121,5919,2511794,media-agent,S,11,31
1789144123,5921,2511716,media-agent,S,17,18
1789144123,5921,2511725,media-agent,S,0,0
1789144123,5921,2511726,media-agent,S,0,0
1789144123,5921,2511727,media-agent,S,0,0
1789144123,5921,2511728,media-agent,S,0,0
1789144123,5921,2511729,media-agent,S,0,0
1789144123,5921,2511730,media-agent,S,7,25
1789144123,5921,2511731,media-agent,S,0,0
1789144123,5921,2511732,pool-spawner,S,0,0
1789144123,5921,2511733,queue1:src,S,348,1089
1789144123,5921,2511738,queue0:src,S,427,1417
1789144123,5921,2511788,media-agent,S,86,96
1789144123,5921,2511789,decklinkaudiosr,S,584,319
1789144123,5921,2511790,decklinkvideosr,S,702,357
1789144123,5921,2511791,decklinkvideosr,S,943,49897
1789144123,5921,2511792,media-agent,S,242,71
1789144123,5921,2511793,media-agent,S,13,1
1789144123,5921,2511794,media-agent,S,11,31
1789144125,5923,2511716,media-agent,S,17,18
1789144125,5923,2511725,media-agent,S,0,0
1789144125,5923,2511726,media-agent,S,0,0
1789144125,5923,2511727,media-agent,S,0,0
1789144125,5923,2511728,media-agent,S,0,0
1789144125,5923,2511729,media-agent,S,0,0
1789144125,5923,2511730,media-agent,S,7,25
1789144125,5923,2511731,media-agent,S,0,0
1789144125,5923,2511732,pool-spawner,S,0,0
1789144125,5923,2511733,queue1:src,S,348,1090
1789144125,5923,2511738,queue0:src,S,427,1417
1789144125,5923,2511788,media-agent,S,86,96
1789144125,5923,2511789,decklinkaudiosr,S,584,319
1789144125,5923,2511790,decklinkvideosr,S,702,357
1789144125,5923,2511791,decklinkvideosr,S,946,49914
1789144125,5923,2511792,media-agent,S,242,71
1789144125,5923,2511793,media-agent,S,13,1
1789144125,5923,2511794,media-agent,S,11,31
1789144127,5925,2511716,media-agent,S,17,18
1789144127,5925,2511725,media-agent,S,0,0
